,Monkey,Elo Rating
0,7124,1642.90783722146
3,94B,1371.67652675542
1,69X,1250.39423483538
8,87J,1055.09126346916
2,72X,1048.97080969178
7,143H,842.245517453941
6,81G,829.531017315992
9,151J,787.19816706437
4,110E,641.576166664613
5,67G,530.408459527896
