Date,Round No,Target AP Location,Target ML Location,Target DV Location,Absolute Depth (µm),Azimuth (°),Elevation (°),Region,Channel 15,Channel 16,Channel 1,Channel 30,Channel 8,Channel 23,Channel 0,Channel 31,Channel 14,Channel 17,Channel 2,Channel 29,Channel 13,Channel 18,Channel 7,Channel 24,Channel 3,Channel 28,Channel 12,Channel 19,Channel 4,Channel 27,Channel 9,Channel 22,Channel 11,Channel 20,Channel 5,Channel 26,Channel 10,Channel 21,Channel 6,Channel 25
2026-03-23,1,18.0,5.9,5.0,36650.0,26.0,18.0,AMG,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,Well-isolated,No spikes,No spikes,No spikes,Multiunits,Multiunits,Multiunits,Multiunits,Multiunits,No spikes,Multiunits,Well-isolated,Well-isolated,Well-isolated,Multiunits,No spikes,No spikes,Multiunits,No spikes,No spikes,No spikes
2026-03-23,2,18.0,5.9,5.0,42700.0,26.0,18.0,ER,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes,No spikes
