,Monkey,Elo Rating (agonism),Elo Rating (submission),Elo Rating (combined)
0,G701,1175.8872811397955,1359.7125348374298,1397.2038289934917
1,101G,1026.701913398068,861.673039328204,856.712068955926
2,19J,1023.7002784947483,628.7305532779308,624.8750462379637
3,14F,914.168450549974,1304.0401588680413,1294.0631968778498
4,68F,859.542076417414,845.843713688395,827.1458589347689
