MonkeyName,AffiliationTo,AffiliationTo_z
7124,223,1.3207586886874036
69X,181,0.5097665114232085
72X,132,-0.43639102871835256
94B,192,0.722169224516212
110E,182,0.5290758489771179
67G,134,-0.39777235361053376
81G,180,0.4904571738692991
143H,193,0.7414785620701214
87J,66,-1.7108073072763736
151J,63,-1.7687353199381017
