MonkeyName,AgonismFrom,AgonismFrom_z
7124,41,1.487664659498012
69X,18,-0.18960431934778596
72X,11,-0.7000774868225941
94B,52,2.2898367798155674
110E,15,-0.4083785339798466
67G,6,-1.0647011778760285
81G,16,-0.3354537957691597
143H,11,-0.7000774868225941
87J,20,-0.04375484292641223
151J,16,-0.3354537957691597
