MonkeyName,AgonismTo,AgonismTo_z
7124,1,-1.8321758179531642
69X,14,-0.6169571631883105
72X,6,-1.3647840276589895
94B,13,-0.7104355212471454
110E,24,0.31782641740003853
67G,34,1.2526099979883876
81G,27,0.5982614915765432
143H,29,0.785218207694213
87J,28,0.6917398496353782
151J,30,0.8786965657530479
