MonkeyName,AffiliationFrom,AffiliationFrom_z
7124,217,1.124727878357015
69X,184,0.5299198657643628
72X,144,-0.19105954343885176
94B,219,1.1607768488171757
110E,167,0.22350361685299663
67G,128,-0.4794513071201376
81G,190,0.638066777144845
143H,182,0.4938708953042021
87J,62,-1.6690673323054417
151J,53,-1.8312876993761649
