n_pcs,group,marginal_r2,perm_pvalue,pca_var_explained
2,Zombies,0.00032396335964457457,0.5358,0.506186141986141
2,Best Frans,0.0007696237197747369,0.7246,0.7474043171613363
2,Instigators,0.0003226275627020714,0.7346,0.47480608611624364
3,Zombies,0.0008649447647456343,0.1934,0.6488663558213386
3,Best Frans,0.0013666068039559498,0.7516,0.9113155432590373
3,Instigators,0.0005214561175267418,0.8208,0.589578266794119
4,Zombies,0.0011329930325800763,0.182,0.7587111169430951
4,Best Frans,0.0022772584994710243,0.6768,1.0
4,Instigators,0.0006800894603119501,0.8992,0.6922470879444862
5,Zombies,0.0012973588857215779,0.1944,0.8564172330937618
5,Best Frans,0.0022772584994710243,0.6768,1.0
5,Instigators,0.0023109538367188653,0.3688,0.7775219225611574
