pair_type,uid_a,uid_b,channel_a,channel_b,n_a,n_b,coincidence,ratio_over_chance,distance_um,contacts_apart,refractory_a,refractory_b,refractory_merged,merged_refractory_ok
unsorted-unsorted,C-020 / unsorted,C-011 / unsorted,C-020,C-011,31133,34404,0.9571,32.09,65.0,1,0.0217,0.0243,0.0213,True
unsorted-unsorted,C-016 / unsorted,C-015 / unsorted,C-016,C-015,17736,22103,0.5454,28.47,65.0,1,0.012,0.0145,0.03,False
unsorted-unsorted,C-011 / unsorted,C-004 / unsorted,C-011,C-004,34404,1814,0.3666,12.29,260.0,4,0.0243,0.0022,0.0218,True
unsorted-unsorted,C-026 / unsorted,C-011 / unsorted,C-026,C-011,1119,34404,0.345,11.57,195.0,3,0.0,0.0243,0.0203,True
unsorted-unsorted,C-026 / unsorted,C-020 / unsorted,C-026,C-020,1119,31133,0.3414,12.65,130.0,2,0.0,0.0217,0.0178,True
unsorted-unsorted,C-004 / unsorted,C-016 / unsorted,C-004,C-016,1814,17736,0.2613,16.99,1235.0,19,0.0022,0.012,0.0142,True
unsorted-unsorted,C-026 / unsorted,C-016 / unsorted,C-026,C-016,1119,17736,0.252,16.39,1690.0,26,0.0,0.012,0.0131,True
unsorted-unsorted,C-020 / unsorted,C-004 / unsorted,C-020,C-004,31133,1814,0.2459,9.11,325.0,5,0.0217,0.0022,0.0195,True
unsorted-unsorted,C-004 / unsorted,C-015 / unsorted,C-004,C-015,1814,22103,0.2078,10.85,1300.0,20,0.0022,0.0145,0.0162,True
unsorted-unsorted,C-026 / unsorted,C-004 / unsorted,C-026,C-004,1119,1814,0.202,128.41,455.0,7,0.0,0.0022,0.0078,False
unsorted-unsorted,C-026 / unsorted,C-015 / unsorted,C-026,C-015,1119,22103,0.1805,9.42,1755.0,27,0.0,0.0145,0.0137,True
unsorted-unsorted,C-026 / unsorted,C-008 / unsorted,C-026,C-008,1119,3893,0.1501,44.2,1495.0,23,0.0,0.0015,0.0045,True
unsorted-unsorted,C-004 / unsorted,C-008 / unsorted,C-004,C-008,1814,3893,0.1356,40.18,1040.0,16,0.0022,0.0015,0.0086,False
unsorted-unsorted,C-011 / unsorted,C-008 / unsorted,C-011,C-008,34404,3893,0.1107,3.71,1300.0,20,0.0243,0.0015,0.0277,True
unsorted-unsorted,C-020 / unsorted,C-008 / unsorted,C-020,C-008,31133,3893,0.1007,3.73,1365.0,21,0.0217,0.0015,0.025,True
unsorted-unsorted,C-011 / unsorted,C-016 / unsorted,C-011,C-016,34404,17736,0.0896,3.0,1495.0,23,0.0243,0.012,0.0553,False
unsorted-unsorted,C-008 / unsorted,C-016 / unsorted,C-008,C-016,3893,17736,0.0807,5.25,195.0,3,0.0015,0.012,0.02,False
unsorted-unsorted,C-011 / unsorted,C-015 / unsorted,C-011,C-015,34404,22103,0.0761,2.55,1560.0,24,0.0243,0.0145,0.0619,False
unsorted-unsorted,C-008 / unsorted,C-015 / unsorted,C-008,C-015,3893,22103,0.0699,3.65,260.0,4,0.0015,0.0145,0.0221,False
unsorted-unsorted,C-020 / unsorted,C-016 / unsorted,C-020,C-016,31133,17736,0.0686,2.54,1560.0,24,0.0217,0.012,0.052,False
unsorted-unsorted,C-011 / unsorted,C-000 / unsorted,C-011,C-000,34404,5459,0.0654,2.19,1170.0,18,0.0243,0.0042,0.0337,False
unsorted-unsorted,C-020 / unsorted,C-015 / unsorted,C-020,C-015,31133,22103,0.061,2.26,1625.0,25,0.0217,0.0145,0.0593,False
unsorted-unsorted,C-020 / unsorted,C-000 / unsorted,C-020,C-000,31133,5459,0.061,2.26,1235.0,19,0.0217,0.0042,0.0316,False
unsorted-unsorted,C-026 / unsorted,C-000 / unsorted,C-026,C-000,1119,5459,0.0509,10.76,1365.0,21,0.0,0.0042,0.0058,True
unsorted-unsorted,C-011 / unsorted,C-030 / unsorted,C-011,C-030,34404,2107,0.0479,1.61,1365.0,21,0.0243,0.0028,0.023,True
unsorted-unsorted,C-030 / unsorted,C-016 / unsorted,C-030,C-016,2107,17736,0.047,3.06,130.0,2,0.0028,0.012,0.0154,True
unsorted-unsorted,C-020 / unsorted,C-030 / unsorted,C-020,C-030,31133,2107,0.0437,1.62,1430.0,22,0.0217,0.0028,0.0214,True
unsorted-unsorted,C-030 / unsorted,C-015 / unsorted,C-030,C-015,2107,22103,0.0432,2.25,195.0,3,0.0028,0.0145,0.0173,True
unsorted-unsorted,C-000 / unsorted,C-015 / unsorted,C-000,C-015,5459,22103,0.0354,1.85,390.0,6,0.0042,0.0145,0.0234,False
unsorted-unsorted,C-004 / unsorted,C-000 / unsorted,C-004,C-000,1814,5459,0.0331,6.99,910.0,14,0.0022,0.0042,0.0075,True
unsorted-unsorted,C-000 / unsorted,C-016 / unsorted,C-000,C-016,5459,17736,0.0293,1.91,325.0,5,0.0042,0.012,0.0229,False
unsorted-unsorted,C-000 / unsorted,C-008 / unsorted,C-000,C-008,5459,3893,0.0216,4.56,130.0,2,0.0042,0.0015,0.0111,False
unsorted-unsorted,C-008 / unsorted,C-030 / unsorted,C-008,C-030,3893,2107,0.0157,4.61,65.0,1,0.0015,0.0028,0.0047,True
unsorted-unsorted,C-000 / unsorted,C-030 / unsorted,C-000,C-030,5459,2107,0.009,1.91,195.0,3,0.0042,0.0028,0.0074,True
unsorted-unsorted,C-004 / unsorted,C-030 / unsorted,C-004,C-030,1814,2107,0.0039,2.11,1105.0,17,0.0022,0.0028,0.0066,True
unsorted-unsorted,C-026 / unsorted,C-030 / unsorted,C-026,C-030,1119,2107,0.0018,0.97,1560.0,24,0.0,0.0028,0.004,True
